"metric_type","metric","tele_cat","sig_effect","count"
"single species","Abundance/Density","Energy Transfer","Negative (detrimental)",8
"single species","Abundance/Density","Energy Transfer","Not Signif.",10
"single species","Abundance/Density","Energy Transfer","Positive (beneficial)",7
"single species","Abundance/Density","Energy Transfer","Unknown Signif.",1
"single species","Abundance/Density","Investment","Negative (detrimental)",2
"single species","Abundance/Density","Knowledge Transfer","Changed (e.g. species composition)",41
"single species","Abundance/Density","Knowledge Transfer","Not Signif.",11
"single species","Abundance/Density","Knowledge Transfer","Positive (beneficial)",1
"single species","Abundance/Density","Knowledge Transfer","Unknown Signif.",1
"single species","Abundance/Density","Migration (human)","Not Signif.",2
"single species","Abundance/Density","Migration (human)","Positive (beneficial)",1
"single species","Abundance/Density","Species Dispersal","Changed (e.g. species composition)",3
"single species","Abundance/Density","Species Dispersal","Not Signif.",13
"single species","Abundance/Density","Species Dispersal","Positive (beneficial)",1
"single species","Abundance/Density","Tourism","Changed (e.g. species composition)",1
"single species","Abundance/Density","Tourism","Negative (detrimental)",22
"single species","Abundance/Density","Tourism","Not Signif.",16
"single species","Abundance/Density","Tourism","Positive (beneficial)",4
"single species","Abundance/Density","Tourism","Unknown Signif.",9
"single species","Abundance/Density","Tourism;Investment","Unknown Signif.",1
"single species","Abundance/Density","Trade","Negative (detrimental)",18
"single species","Abundance/Density","Trade","Neutral (only when there is absolutely no difference in metrics)",1
"single species","Abundance/Density","Trade","Not Signif.",3
"single species","Abundance/Density","Trade;Migration (human)","Negative (detrimental)",5
"single species","Abundance/Density","Trade;Species Dispersal","Unknown Signif.",1
"single species","Abundance/Density","Trade;Tourism;Knowledge Transfer","Negative (detrimental)",2
"single species","Abundance/Density","Waste Transfer","Not Signif.",1
"single species","Movement","Tourism","Negative (detrimental)",2
"single species","Movement","Tourism","Not Signif.",2
"single species","Movement","Tourism","Unclear",1
"single species","Occurrence","Energy Transfer","Positive (beneficial)",1
"single species","Occurrence","Investment","Unknown Signif.",1
"single species","Occurrence","Species Dispersal","Unknown Signif.",1
"single species","Occurrence","Tourism","Negative (detrimental)",2
"single species","Occurrence","Tourism","Not Signif.",3
"single species","Occurrence","Tourism","Unknown Signif.",10
